cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Ganson noir,Périgord rouge,IGP,Rouge,Bordeaux
Mourvèdre noir,Languedoc Montpeyroux rosé,AOC/AOP,Rosé,Languedoc-roussillon
Portan noir,Périgord rosé,IGP,Rosé,Bordeaux
Parellada blanc,Côtes Catalanes rosé,IGP,Rosé,Languedoc-roussillon
Genovèse blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Pinot noir,Bourgogne Côtes d'Auxerre rouge,AOC/AOP,Rouge,Bourgogne
Auxerrois blanc,Coteaux de Tannay blanc,IGP,Blanc,Bourgogne
Pinot blanc,Ladoix premier cru Le Rognet et Corton blanc,AOC/AOP,Blanc,Bourgogne
Grenache gris,Rivesaltes tuilé,AOC/AOP,Tuilé,Languedoc-roussillon
Cardinal rouge,Côtes du Brian rouge,IGP,Rouge,Languedoc-roussillon
Cot noir,Coteaux de Glanes rosé,IGP,Rosé,Sud-ouest
Chardonnay blanc,Côtes de la Charité blanc,IGP,Blanc,Loire
Couderc noir,Côtes de Thau blanc,IGP,Blanc,Languedoc-roussillon
Pinot noir,Mercurey premier cru Griffères rouge,AOC/AOP,Rouge,Bourgogne
Liliorila blanc,Côtes du Lot blanc,IGP,Blanc,Sud-ouest
Villard blanc,Drôme rouge,IGP,Rouge,Rhône
Marsanne blanc,Pays d'Oc blanc nouveau,IGP,Blanc,Languedoc-roussillon
Pinot blanc,Champagne blanc,AOC/AOP,Blanc,Champagne
Chardonnay blanc,Morey-Saint-Denis premier cru Clos Baulet blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Saint-Aubin premier cru Les Frionnes rouge,AOC/AOP,Rouge,Bourgogne
Muresconu noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Clairette blanc,Clairette du Languedoc Saint-André-de-Sangonis vin de liqueur,AOC/AOP,Blanc,Languedoc-roussillon
Cabernet-Sauvignon noir,Val de Loire rouge,IGP,Rouge,Loire
Pinot gris,Alsace grand cru ollwiller pinot gris,AOC/AOP,Blanc,Alsace
Bouchalès noir,Atlantique rosé,IGP,Rosé,Bordeaux
Pinot noir,Volnay premier cru Clos de la Barre,AOC/AOP,Rouge,Bourgogne
Villard noir,Vallée du Paradis blanc,IGP,Blanc,Languedoc-roussillon
Landal noir,Côtes de Thongue rouge,IGP,Rouge,Languedoc-roussillon
Plant droit noir,Atlantique rosé,IGP,Rosé,Bordeaux
Camaralet blanc,Ariège blanc,IGP,Blanc,Languedoc-roussillon
Cinsaut noir,Cité de Carcassonne rouge,IGP,Rouge,Languedoc-roussillon
Chenin blanc,Saône-et-Loire blanc,IGP,Blanc,Bourgogne
Gamay noir,Beaujolais Odenas rouge nouveau,AOC/AOP,Rouge,Beaujolais
Muscat à petits grains rosé,Alsace grand cru hatschbourg vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Chablis premier cru Chaume de Talvat,AOC/AOP,Blanc,Bourgogne
Grenache noir,Côtes du Rhône Villages Séguret rouge,AOC/AOP,Rouge,Rhône
